prestador,factura,lof pos,lof prob,Ensamble,LOF,iForest,Autoencoder,$ Valor Factura,Average of personas_unicas,# consultas,$ valor consultas,# proced,$ valor proced,# urg,# hosp,# nac,# med,$ med pbs,$ med nopbs
B725F4EAFE01B71BF7125AB91BC8356B,D7E1F4CCDDA0A53F45CBF95E06D3F317,8,"55,37 %",1,1,0,0,115500,493,1,115500,0,0,0,0,0,0,0,0
BDC9655DB70D0AD154FA9811931FC6C8,224110BAA398845494ACB6514DAEC591,8,"4,40 %",1,1,0,0,297826,316,0,0,2,297826,0,0,0,0,0,0
E0B158A4D09C4884A37BAA919DC7EB47,92BEAE37B6F7C3C0F1E1206CC135A9B0,8,"44,86 %",1,1,0,0,1160350,212,0,0,1,1160350,0,0,0,0,0,0
3F89EB097CB8FB95E71536FCE8F04D40,57D35C8F338BF4E176F5C14C831BDACF,9,"16,60 %",1,1,0,0,216994,2430,0,0,1,216994,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,6ACC3C5DF65252F3B229002280F58BB3,9,"40,55 %",1,1,0,0,99423,1,0,0,1,99423,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,22DA02BAA4037B2A868B52B1389CD789,9,"3,68 %",1,1,0,0,80832,999,0,0,1,80832,0,0,0,0,0,0
5833AB66972CC785431A16BE6CCD2C47,8CE72DB43268DE97E511A1ED671B88CB,9,"42,31 %",1,1,0,0,276399,225,1,92000,0,0,0,0,0,2,181300,0
B725F4EAFE01B71BF7125AB91BC8356B,4C8F35F81B93A3DFB3259B98783BBFD2,9,"55,37 %",1,1,0,0,115500,493,1,115500,0,0,0,0,0,0,0,0
BDC9655DB70D0AD154FA9811931FC6C8,6295D696183DB2D588DB960EF1C7F160,9,"4,40 %",1,1,0,0,297826,316,0,0,2,297826,0,0,0,0,0,0
E0B158A4D09C4884A37BAA919DC7EB47,0713C31C16AC9F3A5256FC1B98D9A867,9,"44,83 %",2,1,0,1,207500,40,2,108700,2,98800,0,0,0,0,0,0
3F89EB097CB8FB95E71536FCE8F04D40,A6457BD4B8CA261D635049833AA37B4D,10,"16,60 %",1,1,0,0,216994,2430,0,0,1,216994,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,C165E9CC19D1A89924E83A5D290B258A,10,"34,16 %",1,1,0,0,96903,25,0,0,1,96903,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,22CBAB1F259533FECDEA512E8F3CF5EE,10,"3,68 %",1,1,0,0,80832,999,0,0,1,80832,0,0,0,0,0,0
5833AB66972CC785431A16BE6CCD2C47,6773DA0F8E794BF7ABB738D0973B109C,10,"33,99 %",1,1,0,0,36024,25,1,35400,0,0,0,0,0,1,360,0
B725F4EAFE01B71BF7125AB91BC8356B,475970B68EC25B3C1F80A5275DB3FA82,10,"48,77 %",1,1,0,0,57750,493,1,57750,0,0,0,0,0,0,0,0
BDC9655DB70D0AD154FA9811931FC6C8,2BBC7C1F82F4322E3B97EDAFF09321F6,10,"3,19 %",1,1,0,0,433988,316,0,0,2,433988,0,0,0,0,0,0
E0B158A4D09C4884A37BAA919DC7EB47,0B4005E9FE4C18C5234962295C1E8641,10,"43,60 %",1,1,0,0,903750,212,0,0,17,903750,0,0,0,0,0,0
