prestador,factura,autoencoder pos,autoencoder prob,Ensamble,LOF,iForest,Autoencoder,$ Valor Factura,Average of personas_unicas,# consultas,$ valor consultas,# proced,$ valor proced,# urg,# hosp,# nac,# med,$ med pbs,$ med nopbs
B725F4EAFE01B71BF7125AB91BC8356B,3D48F42B91B6DCEBBECE60D108638050,7,"65,77 %",2,1,0,1,42318,4,1,56318,0,0,0,0,0,0,0,0
BDC9655DB70D0AD154FA9811931FC6C8,5C0E08D809523B39A5AFCB47D4A4334C,7,"64,43 %",2,0,1,1,1247923891,24372,34195,0,30466,0,542,45,0,4730,0,0
E0B158A4D09C4884A37BAA919DC7EB47,E907827D4FA0585CA1AF1EEDFA742D97,7,"66,12 %",2,1,0,1,1554434,44,1,53500,13,757100,1,1,0,2,229440,0
3F89EB097CB8FB95E71536FCE8F04D40,EB6545BDD3DDEAF46E8ACEEF272F5B3D,8,"57,06 %",2,0,1,1,302872875,5414,2396,74355553,9649,246453778,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,EACD46BBDC60D5AA84E3282DCEE4804D,8,"53,42 %",2,0,1,1,2862548320,145362,2381,151123178,217337,2711425142,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,74542079475616D132AB10B7FBAC032E,8,"51,44 %",2,0,1,1,397000000,656,3555,123780198,470,61916016,0,16,0,343,4358895,0
5833AB66972CC785431A16BE6CCD2C47,FC391FB366384B246A72E56D020668AA,8,"53,41 %",3,1,1,1,571738651,14,322,26871700,1191,125071000,1,1,0,125,177437283,0
B725F4EAFE01B71BF7125AB91BC8356B,DD87C115B1F9534A3DF85460655FA157,8,"64,22 %",3,1,1,1,12582422,11,0,0,0,0,0,0,0,63,12582422,0
BDC9655DB70D0AD154FA9811931FC6C8,44ED279CF0EDC89580101C4A44BFF62E,8,"61,57 %",2,0,1,1,1336019038,19949,24306,0,35557,0,339,185,0,6389,0,0
E0B158A4D09C4884A37BAA919DC7EB47,F13126ACFFCC977D16F4B31C89752BBA,8,"64,87 %",2,1,0,1,1540055,2,1,55200,5,1238555,0,1,1,2,5550,0
3F89EB097CB8FB95E71536FCE8F04D40,D4E412F1236A60FFC03B0CFF08760C3C,9,"56,83 %",2,0,1,1,302872875,5164,2842,90329008,8542,239465610,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,F2D42E3C9E2A7EEFF7157785F14BDCE8,9,"48,80 %",2,0,1,1,2795890194,145558,2142,139227668,212606,2656662526,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,B6280F7283546FAAE3D0BB0DFC8528E1,9,"50,99 %",2,0,1,1,85500479,1420,556,33020000,1184,51340906,0,0,0,0,0,0
5833AB66972CC785431A16BE6CCD2C47,CA9E12FEFC999F1C89B2C5B011C9B364,9,"52,20 %",2,1,0,1,13125872,14,0,0,6,650000,0,0,0,16,697028,11267112
B725F4EAFE01B71BF7125AB91BC8356B,2B15925B2984056C20ED426C67BBA59A,9,"50,29 %",2,1,0,1,568080,12,0,0,0,0,0,0,0,1,568080,0
BDC9655DB70D0AD154FA9811931FC6C8,788A3EA283A77A615F3605320858F9BD,9,"61,50 %",2,0,1,1,1262689580,24340,34464,0,35711,0,282,163,0,5936,0,0
E0B158A4D09C4884A37BAA919DC7EB47,DC0784281C23BA2E24113DCBEC8D776D,9,"64,66 %",2,1,0,1,1631300,53,1,48400,6,1582900,0,0,1,0,0,0
3F89EB097CB8FB95E71536FCE8F04D40,1934D226985A4375917F85EDB888F2F9,10,"56,00 %",2,0,1,1,302872875,5126,2315,72171677,9840,223655390,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,0E60E8DB39844DD8753FBE45646B250A,10,"48,77 %",2,0,1,1,2149962097,143138,8471,525125356,224344,1624836741,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,19B8FFAEF3556FCB4A8B4A881C3AE2DA,10,"50,47 %",2,0,1,1,500239185,726,4428,129120538,508,54871738,0,17,0,235,5147459,0
5833AB66972CC785431A16BE6CCD2C47,87A10526DCE936F126BEA70C7968D955,10,"52,13 %",1,0,0,1,11343064,2,0,0,0,0,1,1,0,1,0,11267112
B725F4EAFE01B71BF7125AB91BC8356B,921B826FBCFDE8FCAD34CB57188045B3,10,"50,19 %",3,1,1,1,9809587,10,0,0,0,0,0,0,0,52,9809587,0
BDC9655DB70D0AD154FA9811931FC6C8,48F0CA32AF673A877B526F5D15894AF1,10,"59,43 %",2,0,1,1,579929421,30342,28669,0,105553,0,0,0,149,2619,0,0
E0B158A4D09C4884A37BAA919DC7EB47,2F535519F5ACFA59724DBF3FD7321CAF,10,"64,65 %",2,1,0,1,1308100,36,1,48400,7,1241500,0,0,1,0,0,0
